Date,Total,ITU,IDU,STH,Home
30/03/20,156,4,5,17,130
31/03/20,169,2,7,16,144
01/04/20,188,2,12,14,160
02/04/20,195,2,10,16,167
03/04/20,202,1,8,16,177
